set,len,1,cd,0.281,ad,0.000
mult,len,1,cd,0.281,ad,0.000
seq,len,1,cd,0.281,ad,0.000
set,len,2,cd,0.485,ad,0.222
mult,len,2,cd,0.485,ad,0.205
seq,len,2,cd,0.560,ad,0.282
set,len,3,cd,0.675,ad,0.479
mult,len,3,cd,0.684,ad,0.456
seq,len,3,cd,0.824,ad,0.680
set,len,4,cd,0.828,ad,0.708
mult,len,4,cd,0.814,ad,0.646
seq,len,4,cd,0.948,ad,0.900
set,len,5,cd,0.938,ad,0.889
mult,len,5,cd,0.893,ad,0.786
seq,len,5,cd,0.987,ad,0.975
set,len,6,cd,1.000,ad,1.000
mult,len,6,cd,0.949,ad,0.898
seq,len,6,cd,0.997,ad,0.995
set,len,7,cd,1.000,ad,1.000
mult,len,7,cd,0.986,ad,0.972
seq,len,7,cd,1.000,ad,0.999
set,len,8,cd,0.000,ad,0.000
mult,len,8,cd,1.000,ad,1.000
seq,len,8,cd,1.000,ad,1.000


set,len,1,cd,0.281,ad,0.000
mult,len,1,cd,0.281,ad,0.000
seq,len,1,cd,0.281,ad,0.000
set,len,2,cd,0.485,ad,0.222
mult,len,2,cd,0.503,ad,0.241
seq,len,2,cd,0.560,ad,0.282
set,len,3,cd,0.675,ad,0.479
mult,len,3,cd,0.709,ad,0.521
seq,len,3,cd,0.824,ad,0.680
set,len,4,cd,0.828,ad,0.708
mult,len,4,cd,0.860,ad,0.750
seq,len,4,cd,0.948,ad,0.900
set,len,5,cd,0.938,ad,0.889
mult,len,5,cd,0.946,ad,0.897
seq,len,5,cd,0.987,ad,0.975
set,len,6,cd,1.000,ad,1.000
mult,len,6,cd,0.983,ad,0.966
seq,len,6,cd,0.997,ad,0.995
set,len,7,cd,1.000,ad,1.000
